,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,tupiza,-21.45,-65.72,13.98,29,0,0.27,BO,1592607216
349,road town,18.42,-64.62,29.0,70,40,5.1,VG,1592607116
350,mana,5.66,-53.78,25.93,86,33,3.63,GF,1592607217
351,fairbanks,64.84,-147.72,14.0,93,90,3.1,US,1592607217
352,lakes entrance,-37.88,147.98,10.56,87,23,4.19,AU,1592607217
353,mabaruma,8.2,-59.78,24.87,89,100,1.67,GY,1592607217
354,ayabaca,-4.64,-79.71,12.96,96,25,1.01,PE,1592607217
355,lazaro cardenas,17.96,-102.2,28.86,60,20,3.61,MX,1592607217
356,pandan,14.05,124.17,27.6,82,26,3.47,PH,1592607218
357,bilma,18.69,12.92,31.71,12,10,3.16,NE,1592607218
358,paamiut,61.99,-49.67,3.82,87,95,4.56,GL,1592607125
359,longyearbyen,78.22,15.64,4.0,80,20,2.1,SJ,1592607218
360,pangoa,-12.12,-73.0,22.52,82,18,0.77,PE,1592607218
361,kasongo-lunda,-6.47,16.82,18.85,46,1,0.37,CD,1592607218
362,krasnovishersk,60.41,57.08,12.68,95,95,4.72,RU,1592607218
363,lacarak,45.0,19.57,17.78,83,2,1.34,RS,1592607219
364,karera,25.47,78.15,32.01,43,32,3.63,IN,1592607219
365,aswan,24.09,32.91,27.02,23,0,5.03,EG,1592607108
366,tongchuan,35.08,109.09,20.14,72,70,2.37,CN,1592607219
367,chuchkovo,54.27,41.45,15.09,92,14,1.48,RU,1592607219
368,arkansas city,37.06,-97.04,22.0,83,20,3.1,US,1592606945
369,saskylakh,71.92,114.08,24.31,36,25,3.21,RU,1592607220
370,roma,43.21,-75.46,28.89,45,20,2.1,US,1592607220
371,diego de almagro,-26.37,-70.05,10.81,66,0,0.74,CL,1592607220
372,los llanos de aridane,28.66,-17.92,23.0,73,9,6.2,ES,1592607220
373,desna,50.93,30.76,20.56,88,100,3.0,UA,1592607220
374,cockburn town,21.46,-71.14,28.24,81,16,8.51,TC,1592607220
375,point pedro,9.82,80.23,29.46,75,100,6.09,LK,1592607221
376,sinaloa,25.0,-107.5,35.56,43,0,4.47,MX,1592607221
377,waingapu,-9.66,120.26,24.71,81,89,5.64,ID,1592607221
378,rantepao,-2.97,119.9,20.45,89,88,0.46,ID,1592607221
379,pondicherry,11.93,79.83,29.08,76,100,1.29,IN,1592607221
380,padang,-0.95,100.35,25.35,74,71,1.7,ID,1592607221
381,leo,11.1,-2.1,25.39,73,94,2.45,BF,1592607222
382,codrington,-38.27,141.97,10.34,87,64,5.05,AU,1592607222
383,tevriz,57.51,72.4,2.13,91,10,1.46,RU,1592607132
